,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
20,221,Christian Wood,NOP,23,21,13,8,11.9,8.2,2.9,5.6,52.1,0.4,1.2,34.6,2.0,2.7,73.2,0.8,3.1,4.0,0.4,0.8,0.3,0.5,0.8,15.1,2,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,222,Richaun Holmes,PHX,25,70,16,54,16.9,8.2,3.2,5.2,60.8,0.0,0.0,0.0,1.8,2.5,73.1,1.6,3.1,4.7,0.9,0.7,0.6,1.1,2.8,19.6,5,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
22,223,Markelle Fultz,ORL,20,19,12,7,22.5,8.2,3.4,8.2,41.9,0.2,0.7,28.6,1.1,1.9,56.8,1.4,2.3,3.7,3.1,1.3,0.9,0.3,2.7,19.4,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
23,224,Austin Rivers,HOU,26,76,45,31,26.7,8.1,3.1,7.5,40.6,1.4,4.3,31.8,0.7,1.3,52.6,0.3,1.8,2.1,2.2,0.9,0.6,0.3,2.7,15.9,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,225,Frank Jackson,NOP,20,61,22,39,19.2,8.1,3.2,7.3,43.4,0.9,2.8,31.4,0.9,1.2,74.0,0.4,1.8,2.2,1.1,0.8,0.4,0.0,1.5,13.0,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
25,226,Isaiah Thomas,DEN,30,12,6,6,15.1,8.1,2.8,8.3,34.3,1.0,3.6,27.9,1.4,2.3,63.0,0.4,0.7,1.1,1.9,1.5,0.4,0.1,1.4,12.3,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
26,227,Kyle Anderson,MEM,25,43,19,24,29.8,8.0,3.5,6.4,54.3,0.2,0.8,26.5,0.9,1.5,57.8,1.1,4.7,5.8,3.0,1.3,1.3,0.9,2.6,24.5,2,1,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
27,228,Davis Bertans,SAS,26,76,44,32,21.5,8.0,2.7,6.0,45.0,1.9,4.4,42.9,0.7,0.8,88.3,0.3,3.2,3.5,1.3,0.6,0.5,0.4,1.8,16.2,0,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,229,Jamal Crawford,PHX,39,64,13,51,18.9,7.9,2.7,6.8,39.7,1.0,3.2,33.2,1.5,1.7,84.5,0.1,1.2,1.3,3.6,1.5,0.5,0.2,1.2,15.5,0,0,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
29,230,Seth Curry,POR,28,74,49,25,18.9,7.9,2.9,6.3,45.6,1.5,3.4,45.0,0.6,0.7,84.6,0.4,1.3,1.6,0.9,0.8,0.5,0.2,1.3,12.3,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30,231,Josh Hart,LAL,24,67,31,36,25.6,7.8,2.8,6.9,40.7,1.4,4.1,33.6,0.8,1.2,68.8,0.5,3.2,3.7,1.4,0.9,1.0,0.6,2.2,18.2,4,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
